state_name,zip_code,latitude,longitude
Alaska,99766,68.343946,-166.67288
Alaska,99759,69.742065,-162.758207
Alaska,99654,61.356785,-150.168143
Alaska,99611,60.923081,-150.688844
Alaska,99672,60.923081,-150.688844
Alaska,99613,59.570602,-154.447236
Alaska,99836,56.235218,-134.653498
Alaska,99653,60.157849,-154.340609
Alaska,99778,65.109117,-166.764457
Alaska,99603,59.33979,-151.846501
Alaska,99549,56.964177,-158.580635
Alaska,99550,57.877613,-152.865808
Alaska,99927,56.33188,-133.60642
Alaska,99576,58.904908,-157.669052
Alaska,99664,60.341771,-149.296958
Alaska,,55.682773,-133.162389
Alaska,99510,70.36621,-148.745529
Alaska,99519,70.36621,-148.745529
Alaska,99734,70.36621,-148.745529
Alaska,99655,59.755441,-161.899796
Alaska,99767,65.408721,-149.991608
Alaska,99656,61.757561,-157.358451
Alaska,99752,68.064411,-162.866869
Alaska,99611,60.53372,-151.051853
Alaska,99669,60.53372,-151.051853
Alaska,99768,64.72236,-155.501433
Alaska,99657,61.784563,-161.368628
Alaska,99611,60.60518,-151.311787
Alaska,99705,64.533781,-146.884277
Alaska,99714,64.533781,-146.884277
Alaska,99661,55.313368,-160.483552
Alaska,99769,63.680766,-170.482782
Alaska,99901,55.32282,-131.588969
Alaska,99662,61.842624,-165.583266
Alaska,99770,66.590751,-160.001206
Alaska,99663,59.439715,-151.711736
Alaska,99603,59.460451,-151.574374
Alaska,99663,59.460451,-151.574374
Alaska,99664,60.124786,-149.391581
Alaska,,60.089529,-149.573522
Alaska,99665,62.666418,-159.535392
Alaska,99771,64.359086,-161.2011
Alaska,99772,66.234999,-166.119139
Alaska,99773,66.887099,-157.163964
Alaska,99573,62.018766,-145.354854
Alaska,99835,57.142508,-135.332624
Alaska,,57.193204,-135.367396
Alaska,99840,59.46436,-135.275151
Alaska,,59.575097,-135.335418
Alaska,99667,61.888689,-151.199994
Alaska,99586,62.631682,-143.594839
Alaska,99668,61.653861,-157.10302
Alaska,99669,60.484996,-151.068754
Alaska,99670,58.658126,-157.011738
Alaska,99701,64.809526,-147.787929
Alaska,99709,64.809526,-147.787929
Alaska,,63.864997,-143.218628
Alaska,99591,56.570519,-169.598681
Alaska,99658,62.065286,-163.249479
Alaska,99659,63.464848,-162.129262
Alaska,99660,57.179041,-170.325068
Alaska,99671,63.434614,-162.277635
Alaska,99712,64.92654,-147.398625
Alaska,99669,60.540373,-150.806787
Alaska,99672,60.540373,-150.806787
Alaska,99774,66.02359,-149.081592
Alaska,99557,61.793081,-156.586967
Alaska,99605,60.870068,-149.467798
Alaska,99667,61.549292,-150.726517
Alaska,99676,62.152256,-149.734371
Alaska,99688,62.152256,-149.734371
Alaska,99645,61.730711,-148.878446
Alaska,99674,61.730711,-148.878446
Alaska,99627,62.982342,-156.084059
Alaska,99676,62.271377,-150.084564
Alaska,99776,63.328687,-143.494517
Alaska,99780,63.328687,-143.494517
Alaska,99654,61.65748,-149.426672
Alaska,99777,65.184555,-152.054643
Alaska,99677,60.897951,-146.679568
Alaska,99573,62.053519,-145.437625
Alaska,99588,62.053519,-145.437625
Alaska,99778,65.251655,-166.351172
Alaska,99841,57.790054,-135.135446
Alaska,99780,63.166715,-142.554503
Alaska,99919,55.667155,-132.535605
Alaska,99678,59.040616,-160.431476
Alaska,99780,63.328852,-143.037543
Alaska,99637,60.52896,-165.105836
Alaska,99588,62.068635,-146.123116
Alaska,99573,61.530898,-145.110836
Alaska,99683,62.344511,-150.39878
Alaska,99688,62.344511,-150.39878
Alaska,99679,61.104273,-160.937572
Alaska,99680,60.412291,-162.66876
Alaska,99681,60.607991,-165.12079
Alaska,99678,59.100182,-160.309262
Alaska,99712,64.890845,-147.089884
Alaska,99682,61.107587,-151.396552
Alaska,99649,57.647527,-156.994899
Alaska,99684,63.893307,-160.796645
Alaska,99685,53.913312,-166.52508
Alaska,99692,53.913312,-166.52508
Alaska,99607,61.539139,-160.348716
Alaska,99686,61.083367,-146.320284
Alaska,99781,67.020608,-146.375155
Alaska,99782,70.647391,-160.001533
Alaska,99783,65.614193,-168.081118
Alaska,99654,61.57524,-149.45684
Alaska,99921,56.126699,-133.197685
Alaska,99784,64.681831,-163.411928
Alaska,99737,64.152838,-145.906385
Alaska,99825,58.06538,-135.420477
Alaska,99829,58.06538,-135.420477
Alaska,99686,60.776683,-148.664642
Alaska,99693,60.776683,-148.664642
Alaska,99652,61.812523,-149.855994
Alaska,99688,61.812523,-149.855994
Alaska,99694,61.812523,-149.855994
Alaska,99573,61.861839,-145.195118
Alaska,99701,67.481427,-150.160724
Alaska,99615,57.688582,-152.677433
Alaska,99903,56.279121,-132.040325
Alaska,99929,56.279121,-132.040325
Alaska,,56.317416,-132.343978
Alaska,99689,59.563588,-139.606191
Alaska,,59.963024,-141.761587
Alaska,,67.074018,-144.751201
Alabama,36276,33.091627,-85.527029
Alabama,36310,31.564216,-85.259634
Alabama,36310,31.596562,-85.304308
Alabama,,33.274814,-87.170847
Alabama,35005,33.60575,-86.97465
Alabama,35060,33.60575,-86.97465
Alabama,35062,33.60575,-86.97465
Alabama,35073,33.60575,-86.97465
Alabama,35118,33.60575,-86.97465
Alabama,35130,33.60575,-86.97465
Alabama,35214,33.60575,-86.97465
Alabama,35224,33.60575,-86.97465
Alabama,35540,34.202689,-87.177901
Alabama,35540,34.169775,-87.207168
Alabama,35441,32.879417,-87.741757
Alabama,35007,33.214355,-86.82308
Alabama,35040,33.214355,-86.82308
Alabama,35080,33.214355,-86.82308
Alabama,35114,33.214355,-86.82308
Alabama,35115,33.214355,-86.82308
Alabama,35124,33.214355,-86.82308
Alabama,,33.273307,-86.806454
Alabama,36720,32.151807,-87.404639
Alabama,35950,34.26313,-86.21066
Alabama,35951,34.26313,-86.21066
Alabama,35957,34.26313,-86.21066
Alabama,35976,34.26313,-86.21066
Alabama,,34.249085,-86.199533
Alabama,35010,32.92724,-85.937122
Alabama,35089,32.92724,-85.937122
Alabama,36861,32.92724,-85.937122
Alabama,35010,32.933888,-85.947092
Alabama,35011,32.933888,-85.947092
Alabama,36250,33.765175,-85.879596
Alabama,36265,33.765175,-85.879596
Alabama,36279,33.765175,-85.879596
Alabama,,33.846742,-85.891331
Alabama,35442,33.123744,-88.159445
Alabama,35447,33.123744,-88.159445
Alabama,35442,33.143676,-88.111187
Alabama,35013,33.907623,-86.516109
Alabama,35121,33.907623,-86.516109
Alabama,35952,34.039218,-86.305671
Alabama,35952,34.054488,-86.258455
Alabama,36420,31.309436,-86.478031
